time	flux
2456896.22429	1.00003217408
2456896.22491	1.00003265309
2456896.22544	1.00003306803
2456896.22606	1.00003355558
2456896.22659	1.00003397788
2456896.22721	1.00003447405
2456896.22774	1.00003490379
2456896.22836	1.00003540867
2456896.22889	1.00003584592
2456896.22951	1.0000363596
2456896.23005	1.00003680445
2456896.23066	1.00003732701
2456896.2312	1.00003777953
2456896.23182	1.00003831107
2456896.23235	1.00003877133
2456896.23297	1.00003931193
2456896.2335	1.00003978001
2456896.23412	1.00004032978
2456896.23465	1.00004080575
2456896.23527	1.00004136476
2456896.2358	1.0000418487
2456896.23642	1.00004241705
2456896.23695	1.00004290904
2456896.23757	1.00004348681
2456896.2381	1.00004398693
2456896.23872	1.00004457422
2456896.23925	1.00004508254
2456896.23987	1.00004567943
2456896.2404	1.00004619603
2456896.24102	1.00004680261
2456896.24155	1.00004732757
2456896.24217	1.00004794393
2456896.2427	1.00004847733
2456896.24332	1.00004910356
2456896.24386	1.00004964546
2456896.24447	1.00005028165
2456896.24501	1.00005083214
2456896.24563	1.00005147838
2456896.24616	1.00005203753
2456896.24678	1.0000526939
2456896.24731	1.00005326179
2456896.24793	1.00005392839
2456896.24846	1.00005450509
2456896.24908	1.000055182
2456896.24961	1.00005576759
2456896.25023	1.0000564549
2456896.25076	1.00005704945
2456896.25138	1.00005774725
2456896.25191	1.00005835084
2456896.25253	1.00005905921
2456896.25306	1.00005967191
2456896.25368	1.00006039094
2456896.25421	1.00006101282
2456896.25483	1.0000617426
2456896.25536	1.00006237374
2456896.25598	1.00006311435
2456896.25651	1.00006375482
2456896.25713	1.00006450634
2456896.25766	1.00006515622
2456896.25828	1.00006591874
2456896.25882	1.00006657809
2456896.25943	1.00006735169
2456896.25997	1.00006802058
2456896.26059	1.00006880535
2456896.26112	1.00006948386
2456896.26174	1.00007027988
2456896.26227	1.00007096807
2456896.26289	1.00007177542
2456896.26342	1.00007247336
2456896.26404	1.00007329212
2456896.26457	1.00007399989
2456896.26519	1.00007483013
2456896.26572	1.00007554779
2456896.26634	1.0000763896
2456896.26687	1.00007711722
2456896.26749	1.00007797067
2456896.26802	1.00007870832
2456896.26864	1.00007957349
2456896.26917	1.00008032123
2456896.26979	1.0000811982
2456896.27032	1.00008195609
2456896.27094	1.00008284493
2456896.27147	1.00008361304
2456896.27209	1.00008451383
2456896.27263	1.00008529221
2456896.27324	1.00008620502
2456896.27378	1.00008699375
2456896.2744	1.00008791865
2456896.27493	1.00008871779
2456896.27555	1.00008965485
2456896.27608	1.00009046445
2456896.2767	1.00009141374
2456896.27723	1.00009223386
2456896.27785	1.00009319545
2456896.27838	1.00009402615
2456896.279	1.00009500011
2456896.27953	1.00009584145
2456896.28015	1.00009682784
2456896.28068	1.00009767987
2456896.2813	1.00009867875
2456896.28183	1.00009954154
2456896.28245	1.00010055298
2456896.28298	1.00010142657
2456896.2836	1.00010245063
2456896.28413	1.00010333507
2456896.28475	1.00010437181
2456896.28528	1.00010526716
2456896.2859	1.00010631665
2456896.28643	1.00010722295
2456896.28705	1.00010828523
2456896.28759	1.00010920253
2456896.28821	1.00011027767
2456896.28874	1.00011120602
2456896.28936	1.00011229407
2456896.28989	1.00011323352
2456896.29051	1.00011433453
2456896.29104	1.00011528512
2456896.29166	1.00011639914
2456896.29219	1.00011736092
2456896.29281	1.00011848801
2456896.29334	1.00011946101
2456896.29396	1.00012060121
2456896.29449	1.00012158548
2456896.29511	1.00012273883
2456896.29564	1.00012373441
2456896.29626	1.00012490096
2456896.29679	1.00012590788
2456896.29741	1.00012708768
2456896.29794	1.00012810598
2456896.29856	1.00012929907
2456896.29909	1.00013032879
2456896.29971	1.0001315352
2456896.30024	1.00013257636
2456896.30086	1.00013379614
2456896.3014	1.00013484878
2456896.30201	1.00013608195
2456896.30255	1.0001371461
2456896.30317	1.00013839271
2456896.3037	1.0001394684
2456896.30432	1.00014072847
2456896.30485	1.00014181572
2456896.30547	1.00014308929
2456896.306	1.00014418813
2456896.30662	1.00014547522
2456896.30715	1.00014658567
2456896.30777	1.00014788631
2456896.3083	1.0001490084
2456896.30892	1.00015032261
2456896.30945	1.00015145635
2456896.31007	1.00015278416
2456896.3106	1.00015392957
2456896.31122	1.00015527099
2456896.31175	1.00015642809
2456896.31237	1.00015778315
2456896.3129	1.00015895194
2456896.31352	1.00016032066
2456896.31405	1.00016150116
2456896.31467	1.00016288354
2456896.31521	1.00016407577
2456896.31582	1.00016547183
2456896.31636	1.00016667579
2456896.31698	1.00016808553
2456896.31751	1.00016930124
2456896.31813	1.00017072467
2456896.31866	1.00017195212
2456896.31928	1.00017338925
2456896.31981	1.00017462845
2456896.32043	1.00017607928
2456896.32096	1.00017733024
2456896.32158	1.00017879477
2456896.32211	1.00018005747
2456896.32273	1.0001815357
2456896.32326	1.00018281015
2456896.32388	1.00018430207
2456896.32441	1.00018558826
2456896.32503	1.00018709388
2456896.32556	1.00018839181
2456896.32618	1.0001899111
2456896.32671	1.00019122076
2456896.32733	1.00019275372
2456896.32786	1.00019407509
2456896.32848	1.00019562171
2456896.32901	1.00019695479
2456896.32963	1.00019851505
2456896.33017	1.00019985982
2456896.33078	1.0002014337
2456896.33132	1.00020279014
2456896.33194	1.00020437762
2456896.33247	1.00020574571
2456896.33309	1.00020734678
2456896.33362	1.0002087265
2456896.33424	1.00021034112
2456896.33477	1.00021173246
2456896.33539	1.0002133606
2456896.33592	1.00021476352
2456896.33654	1.00021640515
2456896.33707	1.00021781963
2456896.33769	1.00021947473
2456896.33822	1.00022090074
2456896.33884	1.00022256926
2456896.33937	1.00022400676
2456896.33999	1.00022568868
2456896.34052	1.00022713764
2456896.34114	1.0002288329
2456896.34167	1.00023029329
2456896.34229	1.00023200186
2456896.34282	1.00023347364
2456896.34344	1.00023519546
2456896.34398	1.00023667859
2456896.34459	1.00023841363
2456896.34513	1.00023990806
2456896.34575	1.00024165626
2456896.34628	1.00024316195
2456896.3469	1.00024492325
2456896.34743	1.00024644016
2456896.34805	1.00024821452
2456896.34858	1.00024974259
2456896.3492	1.00025152994
2456896.34973	1.00025306912
2456896.35035	1.0002548694
2456896.35088	1.00025641964
2456896.3515	1.00025823279
2456896.35203	1.00025979404
2456896.35265	1.00026161999
2456896.35318	1.00026319218
2456896.3538	1.00026503086
2456896.35433	1.00026661394
2456896.35495	1.00026846528
2456896.35548	1.00027005918
2456896.3561	1.0002719231
2456896.35663	1.00027352776
2456896.35725	1.0002754042
2456896.35778	1.00027701954
2456896.3584	1.00027890841
2456896.35894	1.00028053437
2456896.35956	1.00028243559
2456896.36009	1.0002840721
2456896.36071	1.00028598558
2456896.36124	1.00028763257
2456896.36186	1.00028955822
2456896.36239	1.00029121561
2456896.36301	1.00029315334
2456896.36354	1.00029482105
2456896.36416	1.00029677078
2456896.36469	1.00029844872
2456896.36531	1.00030041035
2456896.36584	1.00030209845
2456896.36646	1.00030407188
2456896.36699	1.00030577004
2456896.36761	1.00030775517
2456896.36814	1.00030946332
2456896.36876	1.00031146004
2456896.36929	1.00031317808
2456896.36991	1.00031518629
2456896.37044	1.00031691413
2456896.37106	1.00031893371
2456896.37159	1.00032067126
