time	flux	error	model	residuals
2456896.28251	1.00013943547	4.23581238246e-05	1.00012998392	9.4503176729e-06
2456896.28428	1.00018118681	4.05788438084e-05	1.00013310251	4.80778983233e-05
2456896.28605	1.00017639791	4.23583471357e-05	1.00013627423	4.0118206347e-05
2456896.28782	1.00017821349	4.05790625688e-05	1.00013949935	3.87087378559e-05
2456896.28958	1.00020319763	4.23583656273e-05	1.00014277812	6.04108913804e-05
2456896.29135	1.00010027836	4.05789788475e-05	1.00014611076	-4.58257044237e-05
2456896.29312	1.00024558748	4.23581403195e-05	1.0001494975	9.60756154165e-05
2456896.29489	1.00010041408	4.0579187702e-05	1.00015293854	-5.25164298088e-05
2456896.29666	1.00024825438	4.23577920235e-05	1.00015643408	9.18059336605e-05
2456896.29844	1.00019948427	4.05779618237e-05	1.00016000451	3.94734494041e-05
2456896.30021	1.00028162861	4.23567695741e-05	1.00016360986	0.000117999442927
2456896.30198	1.00020209692	4.05775715844e-05	1.00016727018	3.48209125889e-05
2456896.40955	1.00015498668	4.23574304817e-05	1.00048639596	-0.000331248167475
2456896.41131	1.00080444868	4.05787406724e-05	1.00049288879	0.000311406406547
2456896.41308	1.00051997224	4.23577484241e-05	1.00049940329	2.05586848636e-05
2456896.41485	1.00063039541	4.05790051027e-05	1.00050593823	0.000124394247794
2456896.41662	1.00049323692	4.23578279939e-05	1.00051249237	-1.92455843116e-05
2456896.41839	1.00051219795	4.05786288568e-05	1.00051906443	-6.86291917131e-06
2456896.42016	1.00049699964	4.23580482642e-05	1.00052565313	-2.86384273684e-05
2456896.42193	1.00045361875	4.05786245885e-05	1.00053225715	-7.85965712522e-05
2456896.42369	1.00054114055	4.23574684343e-05	1.00053887519	2.26414604056e-06
2456896.42546	1.00041844175	4.05785896367e-05	1.00054550589	-0.000126994872374
2456896.42724	1.00061272407	4.2357594053e-05	1.00055218547	6.05051851748e-05
2456896.42901	1.00049125798	4.05779467473e-05	1.00055883749	-6.75417712477e-05
2456896.43078	1.00050971201	4.23567999631e-05	1.00056549807	-5.5754523136e-05
2456896.43255	1.00052631323	4.05773995253e-05	1.00057216579	-4.5826340911e-05
2456896.43432	1.00056832068	4.23566921049e-05	1.00057883925	-1.05124852796e-05
2456896.43609	1.00052446311	4.05771034971e-05	1.00058551702	-6.10181786247e-05
2456896.43785	1.00064590245	4.23555707201e-05	1.00059219765	5.36730187058e-05
2456896.43962	1.00061385467	4.05764316969e-05	1.00059887969	1.49660182088e-05
2456896.47685	1.00037948921	4.2357267576e-05	1.00073712619	-0.000357373549282
2456896.47862	1.00085636474	4.05787179801e-05	1.00074344978	0.000112831073274
2456896.48038	1.00072871089	4.2357404947e-05	1.00074973887	-2.10122290593e-05
2456896.48215	1.00082395764	4.05784577805e-05	1.00075599186	6.79144396781e-05
2456896.48392	1.0008201561	4.23578012131e-05	1.00076220714	5.79048257925e-05
2456896.48569	1.00073400686	4.0578367778e-05	1.00076838312	-3.43498640731e-05
2456896.48746	1.00071860647	4.23576678694e-05	1.00077451819	-5.58684498165e-05
2456896.48923	1.00075503575	4.05784153129e-05	1.00078061078	-2.5555078733e-05
2456896.491	1.00079993385	4.23574949978e-05	1.00078665928	1.32641393782e-05
2456896.49277	1.00064825979	4.05782487437e-05	1.0007926621	-0.00014428794433
2456896.49455	1.00081018842	4.23576809793e-05	1.00079865119	1.15280155518e-05
2456896.49632	1.00081147037	4.05779442454e-05	1.00080455767	6.90714621933e-06
2456896.49808	1.00087553937	4.23562582357e-05	1.00081041374	6.50728873719e-05
2456896.49985	1.00083130768	4.05771999716e-05	1.00081621786	1.50775180748e-05
2456896.50162	1.00087000636	4.23561020897e-05	1.00082196845	4.79984564195e-05
2456896.50339	1.00078791037	4.05780387627e-05	1.00082766399	-3.97207466341e-05
2456896.50516	1.00103174133	4.23558098607e-05	1.00083330293	0.000198273174121
2456896.50693	1.00087131496	4.05766758347e-05	1.00083888375	3.24040252308e-05
2456896.54227	1.00074198465	4.23571035778e-05	1.00093596255	-0.000193796509767
2456896.54404	1.00116087775	4.05786736171e-05	1.00093999562	0.000220674700318
2456896.54581	1.0009696465	4.23578290909e-05	1.00094394065	2.56816073682e-05
2456896.54758	1.00111282412	4.05784673676e-05	1.00094779651	0.00016487133994
2456896.54935	1.00100317437	4.23574949353e-05	1.00095156208	5.15632193711e-05
2456896.55112	1.00098829926	4.05785010473e-05	1.00095523626	3.30314492763e-05
2456896.55289	1.00101427874	4.23573717817e-05	1.00095881798	5.54076360105e-05
2456896.55467	1.00103253527	4.05782611795e-05	1.00096232562	7.01421439166e-05
2456896.55644	1.00095452962	4.23568552654e-05	1.00096571876	-1.11783437072e-05
2456896.55821	1.00092209524	4.05782049573e-05	1.00096901637	-4.68757075657e-05
2456896.55998	1.00107202465	4.23572259069e-05	1.00097221748	9.97102273819e-05
2456896.56175	1.00094739458	4.05778251114e-05	1.00097532114	-2.78993460673e-05
2456896.56352	1.00110236833	4.23561988395e-05	1.00097832643	0.000123920665202
2456896.56529	1.00093523088	4.05769898405e-05	1.00098123247	-4.59564955342e-05
2456896.56705	1.00113005025	4.23552537861e-05	1.0009840384	0.00014586831017
2456896.56882	1.00105702497	4.05763873623e-05	1.00098674337	7.02123230447e-05
2456896.57059	1.00115398977	4.23553563193e-05	1.00096547416	0.000188333777058
2456896.57236	1.00082245674	4.05763012272e-05	1.00081406356	8.38635040149e-06
2456896.60368	0.999964971173	4.23551330932e-05	1.0	-3.50288266703e-05
2456896.60545	1.0002499528	4.05776603608e-05	1.0	0.000249952802444
2456896.60723	1.00012195605	4.23568025442e-05	1.0	0.000121956049837
2456896.609	1.00015555708	4.05784306524e-05	1.0	0.000155557075844
2456896.61077	1.0000438331	4.23575281998e-05	1.0	4.38330959618e-05
2456896.61254	1.00004131028	4.05786443886e-05	1.0	4.13102800263e-05
2456896.61431	1.00004230333	4.23575955023e-05	1.0	4.2303330577e-05
2456896.61608	0.999996965748	4.05784031086e-05	1.0	-3.03425238357e-06
2456896.61785	1.00002704561	4.23574248855e-05	1.0	2.70456057825e-05
2456896.61962	0.999951631333	4.05781082744e-05	1.0	-4.83686671552e-05
2456896.62139	0.999887707527	4.23573088118e-05	1.0	-0.000112292473362
2456896.62316	0.999864049003	4.05784996294e-05	1.0	-0.000135950997231
2456896.62493	0.999972546413	4.23573634471e-05	1.0	-2.745358733e-05
2456896.6267	0.999957099262	4.05783537741e-05	1.0	-4.2900738211e-05
2456896.62848	0.999935968969	4.23569191293e-05	1.0	-6.40310312822e-05
2456896.63025	0.999963003076	4.05772683484e-05	1.0	-3.69969237259e-05
2456896.63202	1.0000064955	4.23562259534e-05	1.0	6.4955007586e-06
2456896.63379	1.00012535731	4.05766932772e-05	1.0	0.000125357312641
2456896.67007	1.00058820706	4.23550528622e-05	1.00096031711	-0.000371753051546
2456896.67184	1.00104363424	4.05776370928e-05	1.0009577861	8.57659952112e-05
2456896.67362	1.00091170414	4.23569629064e-05	1.00095416422	-4.24196012476e-05
2456896.67539	1.0009815491	4.05783404799e-05	1.00095044911	3.10704567098e-05
2456896.67717	1.00086659822	4.23575786411e-05	1.00094662006	-7.99461566876e-05
2456896.67894	1.00088743741	4.05785688038e-05	1.00094272118	-5.52317078231e-05
2456896.68071	1.00090230911	4.23574879448e-05	1.00093873233	-3.63890671297e-05
2456896.68248	1.00087092204	4.05787615379e-05	1.00093465464	-6.36730888303e-05
2456896.68425	1.0008874798	4.23573498525e-05	1.00093048926	-4.29694868567e-05
2456896.68602	1.00085866156	4.05785789282e-05	1.00092623738	-6.75132895539e-05
2456896.68779	1.00081415676	4.23575643455e-05	1.00092190019	-0.000107644196904
2456896.68956	1.00079247809	4.05784264841e-05	1.00091747892	-0.000124886252824
2456896.69133	1.00087424127	4.23572784624e-05	1.00091297482	-3.86982103295e-05
2456896.6931	1.00075847257	4.05786116843e-05	1.00090838913	-0.000149780501958
2456896.69487	1.00081218965	4.23571048382e-05	1.00090372317	-9.14508672808e-05
2456896.69664	1.00077180381	4.05773923959e-05	1.00089897822	-0.000127060180782
2456896.69842	1.00098337601	4.23561994043e-05	1.00089412815	8.91681346091e-05
2456896.70019	1.00075902703	4.05769328396e-05	1.00088922881	-0.000130086102759
